region,date,average_temperature,highest_temperature,lowest_temperature,rainfall,humidity,sunshine_duration,weather_condition
上海,2023-01-01,4.5,7.8,-0.2,0.9,76.0,0.52,中毛毛雨
云南,2023-01-01,7.6,11.5,4.4,4.25,93.0,3.41,小雨
内蒙古,2023-01-01,-9.2,-0.9,-14.7,0.0,49.0,8.96,多云
北京,2023-01-01,-2.4,3.3,-5.8,0.0,35.0,8.54,多云
吉林,2023-01-01,-14.8,-10.4,-19.6,0.0,62.0,8.63,大部晴朗
四川,2023-01-01,6.4,9.6,3.7,0.6,86.0,3.46,小毛毛雨
天津,2023-01-01,-2.5,3.8,-7.0,0.0,55.0,8.0,多云
宁夏,2023-01-01,-5.4,-1.1,-9.1,0.0,35.0,1.57,多云
安徽,2023-01-01,4.4,8.3,-0.6,0.0,69.0,0.0,多云
山东,2023-01-01,1.0,6.8,-3.4,0.0,41.0,7.67,多云
山西,2023-01-01,-2.0,3.3,-7.2,0.0,29.0,6.49,多云
广东,2023-01-01,13.8,20.0,8.2,0.1,59.0,8.93,小毛毛雨
广西,2023-01-01,13.1,19.1,6.8,0.0,62.0,9.69,多云
新疆,2023-01-01,-11.6,-9.9,-13.1,0.0,82.0,6.14,多云
江苏,2023-01-01,5.0,8.8,0.4,0.0,64.0,1.35,多云
江西,2023-01-01,8.6,13.3,4.7,0.0,67.0,9.0,多云
河北,2023-01-01,-1.5,3.8,-4.8,0.0,39.0,5.49,多云
河南,2023-01-01,1.5,6.6,-3.3,0.0,60.0,5.17,多云
浙江,2023-01-01,5.5,10.1,0.8,0.0,68.0,4.83,多云
海南,2023-01-01,16.4,16.8,15.7,4.25,78.0,0.0,大毛毛雨
湖北,2023-01-01,6.7,8.6,4.6,0.7,70.0,0.0,小毛毛雨
湖南,2023-01-01,6.5,10.9,3.5,0.0,82.0,3.85,多云
甘肃,2023-01-01,-3.6,0.6,-6.3,0.0,43.0,7.33,多云
福建,2023-01-01,13.0,15.2,11.4,0.0,60.0,0.39,多云
西藏,2023-01-01,2.6,8.2,-2.9,0.0,15.0,10.0,多云
贵州,2023-01-01,3.0,5.8,1.3,1.9,88.0,0.0,中毛毛雨
辽宁,2023-01-01,-10.1,-4.8,-13.9,0.0,45.0,8.48,晴天
重庆,2023-01-01,8.2,9.5,6.4,1.0,87.0,0.0,小毛毛雨
陕西,2023-01-01,0.3,3.9,-2.8,0.0,69.0,1.0,多云
青海,2023-01-01,-5.5,0.6,-9.4,0.0,37.0,8.27,小雪
黑龙江,2023-01-01,-15.7,-11.849999999999998,-19.2,0.0,62.0,8.36,局部多云
上海,2023-01-02,6.0,8.3,4.3,0.5,78.0,0.0,小毛毛雨
云南,2023-01-02,7.3,11.5,3.7,2.9,91.0,2.22,大毛毛雨
内蒙古,2023-01-02,-10.4,-4.7,-13.9,0.0,57.0,8.74,多云
北京,2023-01-02,-3.2,2.6,-6.0,0.0,37.0,8.92,多云
吉林,2023-01-02,-17.037499999999998,-11.8,-22.7,0.0,64.0,8.63,晴天
四川,2023-01-02,7.2,11.6,4.9,0.0,79.0,5.35,多云
天津,2023-01-02,-4.0,1.4,-7.3,0.0,36.0,8.84,多云
宁夏,2023-01-02,-6.5,-0.1,-11.5,0.0,45.0,8.46,多云
安徽,2023-01-02,4.3,8.8,0.9,0.0,78.0,2.3,多云
山东,2023-01-02,0.1,6.0,-4.0,0.0,44.0,9.0,多云
山西,2023-01-02,-1.0,4.0,-6.1,0.0,31.0,8.67,多云
广东,2023-01-02,15.0,17.9,11.9,1.1,58.0,5.28,小毛毛雨
广西,2023-01-02,13.8,15.3,12.1,1.9,66.0,1.64,大毛毛雨
新疆,2023-01-02,-12.4,-7.8,-15.3,0.0,81.0,8.0,多云
江苏,2023-01-02,4.8,8.8,1.2,0.0,74.0,4.32,多云
江西,2023-01-02,7.4,10.4,5.6,0.0,68.0,8.55,多云
河北,2023-01-02,-2.0,3.4,-5.6,0.0,42.0,8.82,多云
河南,2023-01-02,1.3,7.3,-3.2,0.0,56.0,8.21,多云
浙江,2023-01-02,5.6,6.7,4.6,2.9,82.0,0.0,小毛毛雨
海南,2023-01-02,16.9,17.9,15.4,4.25,79.0,0.0,中雨
湖北,2023-01-02,7.5,10.9,5.5,0.0,62.0,6.89,多云
湖南,2023-01-02,7.0,10.1,5.2,0.5,77.0,1.66,小毛毛雨
甘肃,2023-01-02,-4.6,2.2,-9.3,0.0,41.0,8.97,多云
福建,2023-01-02,13.3,14.8,11.6,0.3,73.0,0.0,小毛毛雨
西藏,2023-01-02,1.8,7.1,-5.5,0.0,25.0,10.0,多云
贵州,2023-01-02,2.8,4.9,1.2,0.8,87.0,0.0,小毛毛雨
辽宁,2023-01-02,-11.3,-5.9,-15.1,0.0,37.0,8.38,晴天
重庆,2023-01-02,8.3,10.5,6.9,0.6,87.0,0.15,小毛毛雨
陕西,2023-01-02,1.8,7.3,-1.9,0.0,77.0,8.0,多云
青海,2023-01-02,-6.8,1.6,-12.3,0.0,50.0,9.02,多云
黑龙江,2023-01-02,-17.037499999999998,-11.849999999999998,-20.0,0.0,64.0,8.37,晴天
上海,2023-01-03,5.2,8.9,1.7,0.0,75.0,8.98,多云
云南,2023-01-03,8.0,13.4,4.2,0.8,82.0,7.55,小毛毛雨
内蒙古,2023-01-03,-9.8,-3.3,-14.2,0.0,58.0,8.96,多云
北京,2023-01-03,-4.0,1.2,-8.4,0.0,33.0,8.93,多云
吉林,2023-01-03,-17.037499999999998,-11.8,-22.4,0.0,64.0,8.63,晴天
四川,2023-01-03,6.9,10.8,2.8,0.4,79.0,4.83,小毛毛雨
天津,2023-01-03,-4.0,2.2,-8.9,0.0,44.0,8.83,大部晴朗
宁夏,2023-01-03,-6.4,1.6,-12.4,0.0,48.0,8.74,大部晴朗
安徽,2023-01-03,3.3,9.2,-2.2,0.0,79.0,9.32,多云
山东,2023-01-03,0.7,7.4,-4.3,0.0,60.0,9.02,晴天
山西,2023-01-03,-1.2,4.3,-6.9,0.0,37.0,9.0,晴天
广东,2023-01-03,13.6,18.0,11.1,0.7,64.0,3.75,小毛毛雨
广西,2023-01-03,13.7,17.5,10.6,0.7,62.0,2.45,小毛毛雨
新疆,2023-01-03,-11.5,-5.5,-16.4,0.0,74.0,7.22,多云
江苏,2023-01-03,3.5,9.4,-1.0,0.0,71.0,9.62,多云
江西,2023-01-03,7.8,10.9,5.2,0.0,71.0,5.38,多云
河北,2023-01-03,-2.6,3.5,-6.7,0.0,46.0,9.0,晴天
河南,2023-01-03,1.9,10.2,-3.5,0.0,68.0,9.0,局部多云
浙江,2023-01-03,5.8,9.8,3.3,2.7,77.0,7.0,中毛毛雨
海南,2023-01-03,16.5,17.2,15.7,1.4,81.0,0.1,小毛毛雨
湖北,2023-01-03,5.8,10.6,0.8,0.0,74.0,9.04,多云
湖南,2023-01-03,7.2,12.5,2.5,0.0,72.0,7.56,多云
甘肃,2023-01-03,-3.8,2.2,-8.8,0.0,48.0,9.23,多云
福建,2023-01-03,11.3,13.3,9.8,0.4,75.0,0.0,小毛毛雨
西藏,2023-01-03,1.1,9.4,-5.5,0.0,25.0,10.0,局部多云
贵州,2023-01-03,3.4,6.0,1.3,0.0,83.0,0.0,多云
辽宁,2023-01-03,-10.9,-6.2,-14.8,0.0,35.0,8.48,晴天
重庆,2023-01-03,8.2,11.4,4.1,0.0,86.0,1.0,多云
陕西,2023-01-03,0.3,6.5,-3.9,0.0,75.0,8.55,多云
青海,2023-01-03,-5.9,1.8,-12.9,0.0,42.0,8.45,多云
黑龙江,2023-01-03,-17.037499999999998,-11.849999999999998,-23.0,0.0,70.0,8.39,晴天
上海,2023-01-04,3.7,9.7,-3.1,0.0,84.0,9.13,多云
云南,2023-01-04,7.1,14.7,1.4,0.0,81.0,7.39,多云
内蒙古,2023-01-04,-9.9,-3.5,-14.1,0.0,61.0,8.96,大部晴朗
北京,2023-01-04,-3.6,3.3,-8.0,0.0,43.0,8.95,大部晴朗
吉林,2023-01-04,-16.5,-9.6,-21.8,0.0,64.0,8.62,晴天
四川,2023-01-04,7.2,10.1,5.8,0.5,83.0,1.65,小毛毛雨
天津,2023-01-04,-3.4,3.0,-8.2,0.0,67.0,8.92,晴天
宁夏,2023-01-04,-5.0,2.0,-11.9,0.0,43.0,8.83,多云
安徽,2023-01-04,4.1,11.1,-2.0,0.0,75.0,9.4,多云
山东,2023-01-04,1.4,5.9,-1.9,0.0,75.0,8.88,多云
山西,2023-01-04,-1.0,5.4,-7.9,0.0,34.0,9.0,多云
广东,2023-01-04,13.9,16.1,11.9,0.2,67.0,0.0,小毛毛雨
广西,2023-01-04,14.8,19.0,11.2,0.0,62.0,9.54,多云
新疆,2023-01-04,-7.8,-3.8,-14.9,0.1,66.0,4.32,小雪
江苏,2023-01-04,4.4,11.9,-2.0,0.0,65.0,9.71,晴天
江西,2023-01-04,8.3,12.8,4.8,0.0,75.0,6.94,多云
河北,2023-01-04,-2.6,4.8,-6.8,0.0,52.0,9.0,多云
河南,2023-01-04,2.1,6.7,-1.5,0.0,71.0,5.97,多云
浙江,2023-01-04,4.9,9.9,0.2,0.0,80.0,9.99,多云
海南,2023-01-04,17.4,18.2,16.4,0.2,84.0,0.0,小毛毛雨
湖北,2023-01-04,7.0,12.3,2.2,0.0,74.0,9.04,多云
湖南,2023-01-04,7.9,13.6,1.8,0.0,75.0,7.4,多云
甘肃,2023-01-04,-3.1,3.8,-8.4,0.0,44.0,8.75,多云
福建,2023-01-04,11.4,14.1,8.0,0.0,68.0,1.42,多云
西藏,2023-01-04,2.4,9.2,-4.7,0.0,29.0,10.0,多云
贵州,2023-01-04,5.4,8.1,3.2,1.7,89.0,0.0,小毛毛雨
辽宁,2023-01-04,-10.2,-4.4,-15.8,0.0,41.0,8.48,多云
重庆,2023-01-04,8.7,9.9,7.4,0.6,86.0,0.0,小毛毛雨
陕西,2023-01-04,1.7,7.4,-2.0,0.2,79.0,6.06,小雪
青海,2023-01-04,-5.7,2.8,-12.5,0.0,43.0,9.12,多云
黑龙江,2023-01-04,-17.037499999999998,-10.1,-23.0,0.0,70.0,8.52,晴天
上海,2023-01-05,7.7,10.9,3.5,0.2,86.0,1.84,小毛毛雨
云南,2023-01-05,8.3,15.6,1.8,0.0,79.0,9.06,多云
内蒙古,2023-01-05,-8.6,-2.0,-13.3,0.0,58.0,8.16,多云
北京,2023-01-05,-2.8,3.4,-7.8,0.0,52.0,8.97,多云
吉林,2023-01-05,-12.7,-5.2,-18.2,0.0,74.0,8.62,多云
四川,2023-01-05,8.1,13.1,3.8,0.0,80.0,5.35,多云
天津,2023-01-05,-2.7,4.4,-7.3,0.0,79.0,8.93,多云
宁夏,2023-01-05,-2.2,6.6,-7.3,0.0,45.0,7.32,多云
安徽,2023-01-05,5.9,12.9,-0.2,0.0,69.0,9.21,多云
山东,2023-01-05,2.1,8.4,-2.5,0.0,74.0,9.0,多云
山西,2023-01-05,-0.8,4.5,-4.5,0.0,36.0,8.0,多云
广东,2023-01-05,16.4,21.1,13.1,0.5,72.0,4.92,小毛毛雨
广西,2023-01-05,16.4,21.4,13.6,0.0,73.0,6.57,多云
新疆,2023-01-05,-5.9,-0.9,-11.2,0.0,63.0,7.78,多云
江苏,2023-01-05,6.4,12.5,2.7,0.0,75.0,9.36,多云
江西,2023-01-05,9.5,14.1,6.2,0.0,71.0,6.0,多云
河北,2023-01-05,-2.9,6.2,-8.1,0.0,59.0,9.0,多云
河南,2023-01-05,2.6,10.3,-2.8,0.0,70.0,8.06,多云
浙江,2023-01-05,8.7,13.1,6.0,0.0,80.0,4.09,多云
海南,2023-01-05,18.4,19.7,16.3,0.0,86.0,6.78,多云
湖北,2023-01-05,9.5,13.0,7.3,0.0,65.0,2.19,多云
湖南,2023-01-05,10.1,14.1,7.2,0.0,68.0,6.34,多云
甘肃,2023-01-05,-2.4,4.5,-7.7,0.0,43.0,8.62,多云
福建,2023-01-05,13.0,19.2,8.1,0.0,77.0,8.46,多云
西藏,2023-01-05,-2.6,1.1,-6.9,0.0,16.0,10.0,多云
贵州,2023-01-05,4.4,6.4,2.2,2.7,91.0,0.04,中毛毛雨
辽宁,2023-01-05,-6.1,1.9,-12.1,0.0,64.0,8.38,多云
重庆,2023-01-05,9.0,11.8,7.0,0.4,85.0,0.0,小毛毛雨
陕西,2023-01-05,2.4,8.2,-2.1,0.0,82.0,7.56,多云
青海,2023-01-05,-3.6,5.2,-10.7,0.0,24.0,9.03,多云
黑龙江,2023-01-05,-15.9,-9.2,-20.1,0.0,71.0,8.53,晴天
上海,2023-01-06,8.7,14.0,4.6,0.0,75.0,9.0,多云
云南,2023-01-06,7.4,12.4,2.8,0.0,70.0,7.63,多云
内蒙古,2023-01-06,-6.3,1.1,-12.4,0.0,46.0,8.96,晴天
北京,2023-01-06,-0.6,8.1,-7.4,0.0,43.0,8.99,多云
吉林,2023-01-06,-8.6,-3.8,-16.5,0.3,90.0,0.0,小雪
四川,2023-01-06,9.0,15.0,2.7,0.0,79.0,9.51,多云
天津,2023-01-06,-0.5,7.2,-6.2,0.0,58.0,8.95,多云
宁夏,2023-01-06,-0.0,8.2,-4.3,0.0,25.0,8.91,晴天
安徽,2023-01-06,7.0,16.7,0.3,0.0,69.0,9.32,晴天
山东,2023-01-06,5.0,10.8,0.9,0.0,50.0,9.02,大部晴朗
山西,2023-01-06,-0.3,5.7,-6.3,0.0,32.0,9.0,大部晴朗
广东,2023-01-06,17.9,22.2,14.4,0.0,56.0,6.78,多云
广西,2023-01-06,15.7,21.3,11.9,0.0,65.0,10.0,多云
新疆,2023-01-06,-7.7,-1.5,-12.0,0.0,64.0,8.4,多云
江苏,2023-01-06,6.5,14.6,0.2,0.0,72.0,9.62,晴天
江西,2023-01-06,11.3,16.8,6.8,0.0,67.0,9.36,多云
河北,2023-01-06,4.9,12.1,-2.6,0.0,26.0,9.0,多云
河南,2023-01-06,7.8,13.7,2.2,0.0,40.0,9.0,晴天
浙江,2023-01-06,9.4,16.5,5.2,0.0,73.0,9.98,多云
海南,2023-01-06,18.7,21.3,16.6,0.0,79.0,9.08,多云
湖北,2023-01-06,8.4,16.4,2.0,0.0,71.0,9.05,晴天
湖南,2023-01-06,10.2,16.0,5.4,0.0,68.0,9.42,多云
甘肃,2023-01-06,1.7,12.1,-6.5,0.0,22.0,9.3,晴天
福建,2023-01-06,13.5,21.3,7.7,0.0,78.0,10.0,多云
西藏,2023-01-06,-3.6,0.7,-10.1,0.0,11.0,10.0,局部多云
贵州,2023-01-06,5.3,11.6,1.7,0.0,78.0,9.87,多云
辽宁,2023-01-06,-3.1,1.4,-6.7,0.6,82.0,1.46,小雪
重庆,2023-01-06,8.2,13.1,4.2,0.0,85.0,8.12,多云
陕西,2023-01-06,4.4,12.5,-1.1,0.0,49.0,9.43,晴天
青海,2023-01-06,-2.0,5.4,-10.0,0.0,21.0,9.12,晴天
黑龙江,2023-01-06,-17.037499999999998,-11.849999999999998,-22.3,0.0,82.0,7.64,多云
上海,2023-01-07,7.0,15.1,-0.2,0.0,68.0,10.0,晴天
云南,2023-01-07,6.5,13.2,-1.9,0.0,55.0,10.51,晴天
内蒙古,2023-01-07,-5.2,1.6,-10.9,0.0,45.0,8.03,多云
北京,2023-01-07,-0.2,5.2,-4.7,0.0,30.0,8.5,多云
吉林,2023-01-07,-14.5,-10.0,-19.0,0.0,70.0,7.84,多云
四川,2023-01-07,8.5,11.8,5.0,0.0,83.0,0.0,多云
天津,2023-01-07,-0.6,6.9,-4.9,0.0,46.0,8.96,多云
宁夏,2023-01-07,-0.6,8.3,-4.6,0.0,24.0,8.71,多云
安徽,2023-01-07,8.2,16.6,0.8,0.0,72.0,9.4,晴天
山东,2023-01-07,5.1,13.1,-1.8,0.0,44.0,9.02,大部晴朗
山西,2023-01-07,2.0,7.8,-2.8,0.0,28.0,9.0,多云
广东,2023-01-07,17.7,23.2,12.3,0.0,52.0,10.65,多云
广西,2023-01-07,15.1,21.9,8.6,0.1,65.0,10.0,小毛毛雨
新疆,2023-01-07,-1.9,3.4,-7.1,0.0,62.0,7.39,多云
江苏,2023-01-07,7.4,16.3,0.5,0.0,70.0,9.79,晴天
江西,2023-01-07,10.7,16.9,4.7,0.0,74.0,9.68,晴天
河北,2023-01-07,1.4,7.9,-2.8,0.0,38.0,9.0,多云
河南,2023-01-07,5.4,12.4,0.6,0.0,55.0,9.0,晴天
浙江,2023-01-07,8.4,16.1,2.9,0.0,75.0,9.98,晴天
海南,2023-01-07,18.5,19.6,17.7,0.6,77.0,5.39,小毛毛雨
湖北,2023-01-07,9.6,17.6,3.3,0.0,71.0,9.11,晴天
湖南,2023-01-07,9.8,18.3,2.6,0.0,74.0,9.57,晴天
甘肃,2023-01-07,2.1,11.2,-6.5,0.0,18.0,9.4,晴天
福建,2023-01-07,11.9,18.5,6.3,0.0,70.0,10.0,晴天
西藏,2023-01-07,-3.5,2.1,-11.0,0.0,12.0,10.0,晴天
贵州,2023-01-07,6.9,15.0,1.1,0.0,57.0,10.0,晴天
辽宁,2023-01-07,-8.1,-3.4,-12.1,0.0,51.0,8.47,多云
重庆,2023-01-07,8.1,14.3,3.2,0.0,82.0,9.89,局部多云
陕西,2023-01-07,3.9,12.5,-2.8,0.0,49.0,9.43,晴天
青海,2023-01-07,-1.5,7.4,-10.1,0.0,15.0,9.21,局部多云
黑龙江,2023-01-07,-17.037499999999998,-11.849999999999998,-22.6,0.0,77.0,6.72,多云
上海,2023-01-08,9.2,16.2,4.4,0.0,72.0,10.0,晴天
云南,2023-01-08,8.3,15.4,-0.4,0.0,66.0,10.53,晴天
内蒙古,2023-01-08,-3.2,3.3,-8.5,0.0,46.0,8.96,多云
北京,2023-01-08,1.7,10.5,-4.3,0.0,36.0,9.0,多云
吉林,2023-01-08,-8.3,-1.1,-17.2,0.0,68.0,4.31,多云
四川,2023-01-08,9.6,12.6,6.8,0.0,83.0,1.0,多云
天津,2023-01-08,0.5,9.3,-4.4,0.0,56.0,8.98,大部晴朗
宁夏,2023-01-08,-1.8,6.2,-6.3,0.0,28.0,8.98,局部多云
安徽,2023-01-08,10.4,19.2,5.3,0.0,66.0,9.49,晴天
山东,2023-01-08,6.5,11.1,2.5,0.0,69.0,9.0,局部多云
山西,2023-01-08,2.5,10.4,-4.2,0.0,30.0,9.0,局部多云
广东,2023-01-08,16.5,18.9,14.9,1.3,70.0,0.0,中毛毛雨
广西,2023-01-08,15.9,18.0,13.6,0.7,77.0,0.12,小毛毛雨
新疆,2023-01-08,-7.8,-4.8,-11.4,0.0,77.0,7.19,多云
江苏,2023-01-08,9.2,18.5,3.3,0.0,62.0,9.82,晴天
江西,2023-01-08,11.9,18.5,4.9,0.0,72.0,9.08,多云
河北,2023-01-08,1.0,10.0,-4.7,0.0,57.0,9.0,大部晴朗
河南,2023-01-08,5.4,12.6,0.6,0.0,57.0,9.0,晴天
浙江,2023-01-08,9.3,18.4,1.5,0.0,75.0,9.98,晴天
海南,2023-01-08,18.2,18.9,17.3,4.25,87.0,0.0,中毛毛雨
湖北,2023-01-08,10.4,18.9,4.8,0.0,72.0,9.19,晴天
湖南,2023-01-08,11.9,20.1,4.8,0.2,69.0,9.48,小毛毛雨
甘肃,2023-01-08,0.5,7.3,-4.4,0.0,22.0,9.4,多云
福建,2023-01-08,12.2,19.4,6.3,0.0,71.0,7.0,多云
西藏,2023-01-08,-0.6,5.1,-7.1,0.0,10.0,10.0,晴天
贵州,2023-01-08,7.5,15.9,0.5,0.0,64.0,10.0,晴天
辽宁,2023-01-08,-2.9,4.3,-7.2,0.0,47.0,8.17,多云
重庆,2023-01-08,8.6,13.9,4.3,0.0,85.0,7.64,多云
陕西,2023-01-08,3.9,10.9,-2.0,0.0,69.0,9.51,晴天
青海,2023-01-08,-0.9,7.1,-8.6,0.0,15.0,9.12,多云
黑龙江,2023-01-08,-13.3,-6.6,-23.0,1.0,78.0,0.12,小雪
上海,2023-01-09,9.0,15.6,4.3,0.0,84.0,10.0,多云
云南,2023-01-09,8.5,15.6,-0.6,0.0,65.0,10.54,大部晴朗
内蒙古,2023-01-09,-2.4,4.9,-8.9,0.0,48.0,8.96,晴天
北京,2023-01-09,0.5,5.8,-3.5,0.0,42.0,9.0,多云
吉林,2023-01-09,-10.8,-6.1,-15.1,0.0,62.0,8.7,晴天
四川,2023-01-09,9.5,13.1,5.1,0.0,82.0,3.34,多云
天津,2023-01-09,-0.8,5.2,-4.8,0.0,60.0,9.0,多云
宁夏,2023-01-09,-1.6,5.4,-5.7,0.0,39.0,8.87,多云
安徽,2023-01-09,8.8,16.3,1.5,0.0,73.0,9.4,晴天
山东,2023-01-09,2.6,7.3,-0.3,0.0,55.0,9.02,多云
山西,2023-01-09,0.2,7.4,-4.8,0.0,42.0,8.98,多云
广东,2023-01-09,15.8,17.6,14.4,4.25,91.0,0.0,大毛毛雨
广西,2023-01-09,17.2,21.4,14.8,1.4,82.0,4.71,小毛毛雨
新疆,2023-01-09,-6.1,-1.3,-14.3,0.1,79.0,1.17,小雪
江苏,2023-01-09,8.0,14.9,2.3,0.0,72.0,9.71,大部晴朗
江西,2023-01-09,12.2,18.4,7.9,0.0,83.0,8.0,多云
河北,2023-01-09,0.4,6.1,-3.3,0.0,58.0,9.0,多云
河南,2023-01-09,4.7,9.0,1.7,0.0,42.0,9.0,局部多云
浙江,2023-01-09,9.8,18.4,3.2,0.0,77.0,9.98,多云
海南,2023-01-09,18.6,19.6,17.8,4.25,92.0,0.0,小雨
湖北,2023-01-09,10.5,18.1,5.5,0.0,69.0,9.09,晴天
湖南,2023-01-09,13.0,19.9,7.3,0.0,79.0,9.4,晴天
甘肃,2023-01-09,-0.1,5.5,-5.0,0.0,24.0,9.4,晴天
福建,2023-01-09,14.4,16.1,12.0,4.25,92.0,0.0,中雨
西藏,2023-01-09,1.3,6.5,-4.6,0.0,11.0,10.01,晴天
贵州,2023-01-09,9.9,16.0,4.3,0.0,74.0,10.0,局部多云
辽宁,2023-01-09,-6.5,-1.8,-9.8,0.0,44.0,8.53,晴天
重庆,2023-01-09,9.2,14.8,4.8,0.0,83.0,9.68,多云
陕西,2023-01-09,2.2,7.8,-2.9,0.0,72.0,9.32,大部晴朗
青海,2023-01-09,-0.4,7.7,-9.8,0.0,18.0,9.11,晴天
黑龙江,2023-01-09,-16.3,-11.6,-21.7,0.0,75.0,8.56,晴天
上海,2023-01-10,7.3,11.2,4.0,0.0,81.0,9.0,多云
云南,2023-01-10,8.5,15.6,0.6,0.0,69.0,10.5,大部晴朗
内蒙古,2023-01-10,-2.6,3.2,-7.2,0.0,53.0,8.97,多云
北京,2023-01-10,-1.5,4.8,-4.8,0.0,53.0,9.0,大部晴朗
吉林,2023-01-10,-6.1,-0.4,-12.1,0.0,57.0,8.71,大部晴朗
四川,2023-01-10,10.3,14.3,7.4,0.0,79.0,4.0,多云
天津,2023-01-10,-1.5,5.2,-4.3,0.0,58.0,9.0,晴天
宁夏,2023-01-10,-1.5,5.8,-8.6,0.0,55.0,8.67,多云
安徽,2023-01-10,5.7,10.4,2.5,0.0,77.0,5.63,多云
山东,2023-01-10,1.3,7.9,-3.2,0.0,42.0,9.02,多云
山西,2023-01-10,0.4,4.9,-3.5,0.0,45.0,9.0,多云
广东,2023-01-10,15.8,16.4,15.0,4.25,92.0,0.0,小雨
广西,2023-01-10,16.9,18.8,15.7,4.25,88.0,0.0,小雨
新疆,2023-01-10,-7.0,-1.6,-11.9,0.1,75.0,6.79,小雪
江苏,2023-01-10,5.7,11.2,1.2,0.0,76.0,8.53,多云
江西,2023-01-10,10.4,14.9,7.1,0.0,75.0,9.49,晴天
河北,2023-01-10,0.0,5.8,-3.8,0.0,58.0,9.0,多云
河南,2023-01-10,2.3,8.2,-1.5,0.0,57.0,9.0,多云
浙江,2023-01-10,8.3,11.4,5.2,0.0,77.0,4.64,多云
海南,2023-01-10,19.0,19.7,18.4,4.25,93.0,0.0,小雨
湖北,2023-01-10,8.2,13.9,4.1,0.0,79.0,9.09,大部晴朗
湖南,2023-01-10,10.0,15.6,6.1,0.0,74.0,9.55,晴天
甘肃,2023-01-10,0.8,6.4,-5.2,0.0,32.0,9.39,多云
福建,2023-01-10,14.1,15.5,13.0,1.3,87.0,0.0,中毛毛雨
西藏,2023-01-10,2.1,7.0,-2.9,0.0,14.0,10.0,多云
贵州,2023-01-10,9.5,16.1,3.2,0.0,76.0,7.81,多云
辽宁,2023-01-10,-3.6,4.3,-10.4,0.0,46.0,8.62,晴天
重庆,2023-01-10,10.3,16.2,5.3,0.0,81.0,9.61,多云
陕西,2023-01-10,2.5,9.1,-3.0,0.0,68.0,9.31,局部多云
青海,2023-01-10,-0.5,8.9,-7.1,0.0,21.0,9.2,多云
黑龙江,2023-01-10,-8.5,-3.3,-14.6,0.0,68.0,8.55,多云
上海,2023-01-11,9.5,16.2,3.0,0.0,88.0,10.0,多云
云南,2023-01-11,9.2,15.4,3.7,0.0,66.0,10.56,大部晴朗
内蒙古,2023-01-11,-0.9,4.0,-4.2,0.0,62.0,3.97,多云
北京,2023-01-11,-1.5,4.2,-5.6,0.0,57.0,6.55,多云
吉林,2023-01-11,-1.8,2.5,-5.2,0.0,65.0,7.34,多云
四川,2023-01-11,9.7,12.1,8.1,0.0,81.0,0.0,多云
天津,2023-01-11,-0.6,4.3,-4.5,0.0,64.0,2.54,多云
宁夏,2023-01-11,-2.1,4.5,-6.9,0.1,51.0,8.75,小雪
安徽,2023-01-11,7.1,14.2,1.4,0.0,80.0,9.31,晴天
山东,2023-01-11,4.2,11.3,-0.9,0.0,68.0,9.02,多云
山西,2023-01-11,0.9,4.3,-4.3,0.0,57.0,1.97,多云
广东,2023-01-11,16.2,17.7,14.8,4.25,93.0,0.0,小雨
广西,2023-01-11,16.4,17.8,15.6,4.25,93.0,0.0,中雨
新疆,2023-01-11,-8.2,-5.9,-10.8,4.25,91.0,0.0,大雪
江苏,2023-01-11,7.9,14.4,2.6,0.0,83.0,9.53,大部晴朗
江西,2023-01-11,11.3,17.2,5.7,0.0,79.0,9.48,多云
河北,2023-01-11,-0.4,5.3,-3.6,0.6,65.0,5.09,中雪
河南,2023-01-11,3.9,10.9,-1.1,0.0,77.0,9.0,多云
浙江,2023-01-11,8.8,14.9,4.4,0.0,91.0,5.0,多云
海南,2023-01-11,20.5,21.7,19.2,3.8,95.0,0.0,中毛毛雨
湖北,2023-01-11,9.7,15.9,5.1,0.0,78.0,9.16,晴天
湖南,2023-01-11,11.1,18.2,4.7,0.0,78.0,9.42,多云
甘肃,2023-01-11,-1.0,3.8,-3.7,0.0,78.0,8.19,多云
福建,2023-01-11,14.6,16.7,12.4,0.7,84.0,1.08,小毛毛雨
西藏,2023-01-11,1.5,5.7,-2.5,0.0,23.0,10.0,多云
贵州,2023-01-11,10.7,16.1,7.3,0.3,83.0,4.42,小毛毛雨
辽宁,2023-01-11,0.6,6.6,-3.3,0.0,62.0,7.55,多云
重庆,2023-01-11,9.1,12.8,5.7,0.0,88.0,0.0,多云
陕西,2023-01-11,3.4,8.1,1.1,0.0,70.0,6.53,多云
青海,2023-01-11,-1.4,7.7,-7.5,0.0,28.0,9.11,多云
黑龙江,2023-01-11,-4.3,1.1,-7.9,0.0,78.0,8.04,多云
上海,2023-01-12,14.6,21.2,9.2,4.1,90.0,5.33,小雨
云南,2023-01-12,9.0,15.9,2.8,0.0,64.0,10.58,晴天
内蒙古,2023-01-12,0.2,2.0,-1.8,1.0,84.0,0.0,小雪
北京,2023-01-12,0.7,2.4,-2.0,2.9,71.0,0.0,中雪
吉林,2023-01-12,1.0,3.7,-3.2,0.7,81.0,1.25,小毛毛雨
四川,2023-01-12,10.2,15.8,4.1,0.0,79.0,6.61,多云
天津,2023-01-12,2.4,5.4,0.9,3.1,80.0,0.0,中毛毛雨
